,text,cmp_code
126,"The hunt for ever higher returns, the short-term orientation in parts of the economy, the immoderateness in personal remuneration has been declared normal for many years.",403
127,There should be no limits to greed.,403
128,Market radicalism has declared this malaise to be the basic condition of economic activity.,403
129,"Any attempt to impose rules, transparency and control was denounced as false interference in the free play of forces.",403
130,"We rely on the democratic state, which is capable of acting and sets clear rules for the social market economy.",403
131,A reboot of the social market economy must be a response to the unleashed capitalism of the 21st century.,403
132,"For us, the social market economy means more than just regulatory policy.",403
133,We base a genuine new start on ten fundamental principles:,403
134,1. markets must be embedded in a strong and solidarity-based society.,503
135,Our economy needs a society of equal rights and equal opportunities.,503
136,"The productive interaction of state, market and society, involving employers, employees and trade unions, is the basis of the social market economy.",405
137,"Today, it is clear that co-determination in companies and enterprises is an indispensable, stable success factor.",202
138,2. an effective state that offers citizens security and guarantees strong public services.,503
139,It is the primary task of the state to create the basis for individual opportunities and social prosperity through good education.,506
140,An efficient public service is the prerequisite for a reliable public infrastructure and public services.,303
141,"For this, the state needs reliable revenues and consolidated finances. 3.",414
142,3. fair participation of employees in society's prosperity and a fair distribution of income and wealth for social and economic reasons.,503
143,"4. the principle of ""investment instead of speculation"".",408
144,"Article 14 of our Basic Law states: ""Property obliges"".",203
145,"Therefore, rules are needed to ensure that capital is used ""productively"" and serves the interests of the common good.",403
146,"Through strategic and ecological industrial policy, the state has opportunities to create incentives for capital to flow into sustainable, ecologically compatible growth areas. 5.",408
147,5 Public investment in the future plays a central role in combining economic and social innovation with social justice.,503
148,Germany is a strong export nation and should remain so.,408
149,But equally important is the purchasing power within.,408
150,We need a balance of export strength and domestic market.,408
151,7. a culture of long-termism and sustainability.,403
152,A social market economy does not stand in the way of a dynamic economy and free enterprise.,403
153,"But one of its essential tasks is to set the framework and incentives for market participants in such a way that economically, socially and environmentally sustainable behavior pays off more than non-sustainable behavior.",403
154,8. fair competition for better ideas and products.,403
155,"Where there is competition for low wages and poorer working conditions, everyone loses in the end.",403
156,We need a new phase of cooperation instead of just competition. 9.,403
157,"9. the guarantee of social civil rights through solidarity-based social insurance,",503
158,a tuition-free education system,506
159,and a minimum wage for work.,701
160,We also want to enforce these basic principles of a social market economy at the European and international level.,107
161,Some of this has been called into question in the recent past.,403
162,"But ""turning point"" means that today is about nothing more and nothing less than a new start for the social market economy in Germany, in Europe and internationally.",403
163,Such a new start requires overcoming an often market-radical narrow view of the economy.,403
164,This is not only the task of politics.,405
165,"We Social Democrats want to engage in a social debate with trade unions and employers, with academia and associations, about how we envision a social market economy in the 21st century.",405
166,"This also includes making economic policy advice more practice-oriented, pragmatic and international.",303
167,3. Germany is strong Our country is strong.,NA
168,We are strong also in change.,601
169,We have mastered difficult challenges over the past decades and together we have brought our country up to date time and again.,601
170,We are able to do this because we provide security with the welfare state and organize solidarity in the country.,503
171,Because we give the market moral goals and fair rules.,403
172,And because we are a lively and active social society in which many people get involved and lend a hand.,606
173,"In view of the historic depth and severity of the financial market and economic crisis, we will have to examine in the fall, on the basis of the economic data valid at that time, which of our proposed measures can be implemented immediately and which can only be implemented in the course of the legislative period.",414
174,Progress is our goal.,411
175,progress to achieve and sustain a high level of prosperity for all.,408
176,"Socially just, fairly distributed,",503
177,sustainable and ecologically responsible.,501
178,Germany needs new common ground.,606
179,We contribute to this with our policies.,305
180,Commonality is a key driver of social progress in our country.,606
181,This succeeds when everyone contributes and the rules apply to everyone.,503
182,No one should shirk responsibility.,503
183,Our Germany should be a country where fairness applies.,503
184,4. our goals Frank-Walter Steinmeier: a social democratic chancellor.,NA
185,Frank-Walter Steinmeier is to be Chancellor of the Federal Republic of Germany.,305
186,The fourth social democratic in our history.,305
187,"Three Social Democratic chancellors before him helped shape the republic, taking responsibility and demonstrating courage in difficult times.",305
188,They have served the country well and moved it forward.,305
189,"With his Ostpolitik, Willy Brandt laid the foundation for overcoming the confrontation between the blocs.",305
190,He dared more democracy.,202
191,Helmut Schmidt steered our country through difficult times with a clear course and sensibly linked the economic and the social.,305
192,"Gerhard Schröder saved our country from the Iraq war, initiated the phase-out of nuclear energy and the energy turnaround, and put Germany on the right track with a determined reform policy.",305
193,We need a social democratic chancellor again in the coming years.,305
194,A chancellor who leads with clear convictions and not just moderates.,305
195,A chancellor who has the courage to make decisions.,305
196,Prosperity for all at a high level permanently,NA
197,- We will succeed if we guarantee the performance of our country,408
198,and make good work for all the central political goal.,701
199,The potentials are there.,408
200,In companies and among skilled workers. - We will succeed if,408
201,- We will succeed if the coming decade is the decade of investment in education and training.,506
202,and research.,411
203,- We will succeed if our policies are guided by the principle of sustainability.,416
204,We are also jointly responsible for future generations.,706
205,"Work, education and sustainability: these are the drivers of progress in the coming period.",408
206,We are a democratic and social constitutional state and want to remain so.,202
207,"To achieve this, a social welfare state capable of taking action is indispensable.",503
208,"It is sustainable and superior to other models that seek to privatize coverage in old age, in the event of illness or in the event of long-term care.",503
209,The social market economy is our way.,403
210,"Focused on prosperity, committed to social welfare, indispensable, not only in our country but also in Europe and worldwide.",403
211,Social partnership is the joint responsibility of entrepreneurs and trade unions.,405
212,It makes a decisive contribution to social and internal peace in Germany.,405
213,The social society is the field in which citizens take on responsibility particularly intensively and actively participate.,606
214,The social city is the place to live.,503
215,"Home, starting point for a mobile life, place where quality of life is experienced and learned.",503
216,This is our Germany.,601
217,A country that peacefully assumes its place and responsibility in Europe and the world.,106
218,The new decade presents us with many tasks.,305
219,But eight goals are central to us:,305
220,"everyone should have a job, fairly paid.",701
221,"Because work plays such a central role, full employment remains a goal that a social market economy does not abandon, because it gives its citizens the prospect of personal development and prosperity even in difficult times.",701
222,"For this, we need successful companies",401
223,and strong workforces.,701
224,All young people should have a high school diploma and educational qualifications.,506
225,Fair educational opportunities for all are the basis for social justice in general.,506
226,Education is a human right.,506
227,No child should be left behind by society.,503
228,Climate change challenges us all.,501
229,"Sustainable living and economic activity is no mere utopia, but the prerequisite for future generations to be able to live well in the future.",501
230,"We want to achieve the climate goals and advance the comprehensive ecological modernization of the infrastructure, buildings, capital stock in our country.",501
231,Germany is to become the world's think tank on climate protection - and this will create new jobs.,501
232,We want to strengthen families.,603
233,They are the most important social unit in our society.,603
234,We want to shape the conditions in such a way that cohesion between the generations is sustainable.,603
235,Families need reliable structures.,603
236,"They should be socially secure, parents should be able to combine work and family.",603
237,The children must be protected.,706
238,We want to significantly improve the situation of single parents.,503
239,We want to further promote equality between men and women in all areas of society.,503
240,"This includes equal participation in living wage work and career advancement opportunities, as well as equal pay for work of equal value, and the sharing of family responsibilities on a partnership basis.",503
241,Equality must lead to equal treatment and actual equality.,503
242,Integration is a central task for the future viability of our country.,607
243,Their success is decided in the cities and communities.,301
244,We want and need to reach out to children and young people in particular.,706
245,"They need special support so that equal opportunities are possible in kindergarten, at school and at work.",503
246,"In the first global century, Germany cannot and will not act alone, but as an important part of Europe.",108
247,"This Europe should not only be economically strong, but also have a clear social order.",108
248,"Internationally, Europe stands for peace, cooperation and a fair balance of different interests.",108
249,We do not need to reinvent our economic and social model.,403
250,The social economic order as the economic order of a social democracy has proven its worth.,403
251,The social market economy is the success model of our prosperity and our democracy.,403
252,It has made Germany strong and it can continue to do so in the future.,403
253,"In the 60 years of our Federal Republic, social democracy and the trade unions have played a decisive role in shaping it.",403
254,But it must now be restarted.,403
255,It needs fresh impetus and decisive action.,403
256,II. our policy 1. maintain and secure prosperity,NA
257,The global crisis has also hit the German economy hard.,408
258,"With two extensive economic stimulus programs, we have built bridges to support our economy.",412
259,and our labor market well through the crisis and give ourselves the opportunity to start the next upswing stronger and more crisis-proof than before.,408
260,"With this policy, we are building on the reforms of the two Social Democratic-led federal governments, which helped make Germany the most competitive country in the entire European Union today.",403
261,"The talk of the ""sick man of Europe"" is long gone.",601
262,Now we are back in a top position internationally.,408
263,We want Germany to be a country of high prosperity in the long term.,408
264,"The sources of prosperity are above all qualifications, ideas, knowledge, creativity, well-trained specialists and curiosity about new things.",411
265,Germany is a frontrunner in key technology fields.,411
266,We want to maintain and expand this position.,411
267,"For us, economic competence, especially in and after the crisis, means keeping an eye on the economic big picture.",408
268,We want an economy that stands on two stable pillars:,408
269,"an innovative, productive export sector",411
270,and a strong domestic market.,408
271,That is why we are pursuing an economic policy that strikes a new balance between the key economic objectives:,408
272,more targeted public investment,412
273,and a reduction in public debt.,414
274,International competitiveness,408
275,and strong domestic demand through equitable income distribution.,409
276,Growth,410
277,and environmental sustainability.,501
278,That is why a good education,506
279,"and research policy,",411
280,a policy that ensures efficient infrastructure,411
281,"and enforces the rules for fair competition, is the best and most successful economic policy in the long term.",403
282,What we want: New rules for the financial markets,NA
283,- Rules for banks.,403
284,Financial service providers must return to their serving function for society and the real economy and assume more responsibility for risks.,403
285,"In the future, there must be no more off-balance sheet transactions.",403
286,"Improving the equity base of companies is one of the goals of our capital market policy, especially in times of crisis.",403
287,We continue to reject short-term and speculative investments at the expense of sites and jobs and are,403
288,taking internationally coordinated initiatives for transparency and control.,403
289,Assets must be able to be valued in such a way that they do not have a procyclical effect and thus exacerbate the crisis if the market changes significantly.,403
290,- Regulation of hedge funds and private equity funds.,403
291,Both types of funds operate with high risks and therefore need to be more strictly regulated.,403
292,"We call for registration and complete monitoring of hedge funds and private equity at the European and international level,",403
293,"an improvement in transparency,",403
294,"and higher capital requirements, including for lending to the funds.",403
295,We want rules against excessive corporate debt by funds.,403
296,Banks may only transact with registered funds.,403
297,"It must be possible to prevent harmful short selling, which is used primarily by hedge funds.",403
298,- More independent rating agencies.,403
299,We want to break away from the dependence and dominance of a few American rating agencies.,403
300,This can best be done at the European level.,108
301,We advocate effective registration and clear rules to prevent conflicts of interest and transparency in and by credit rating agencies.,403
302,We want to reduce the importance of rating agencies as part of the necessary reorganization of financial market regulation.,403
303,- Strong financial market supervision.,403
304,Stable financial markets are a public good.,403
305,"There must be strong financial market supervision capable of action at national, European and international level:",403
306,"no market, no product, no actor, no territory and no state must remain unsupervised in the future.",107
307,"In Germany, the Bundesbank and the Federal Financial Supervisory Authority (BaFin) must cooperate better",303
308,and have more rights of examination and intervention.,403
309,We want to strengthen and qualitatively tighten financial market supervision in the Federal Republic.,403
310,This means that special business risks must be backed by higher capital requirements.,403
311,Liquidity provisioning by financial institutions needs to be improved and become an increased subject of regulation.,403
312,"In addition, we need earlier bans on distributions and payments to parent companies:",403
313,the banking supervisory authority must be able to impose distribution bans earlier when a crisis is looming.,403
314,"In this way, we also protect domestic investors from the hasty withdrawal of funds from institutions in the Federal Republic.",403
315,"At European level, we support the revision of the Capital Requirements Directive, which is relevant for all European countries, with stricter rules for securitization transactions and a uniform definition of core capital requirements.",403
316,We want compensation structures to be made the subject of supervision in financial market regulation.,403
317,- Limitation of manager salaries.,403
318,Responsible bank managers need incentive and compensation systems that are geared toward greater sustainability rather than quick returns.,403
319,Salary excesses and golden handshakes for incompetent managers must not be co-financed by the general public.,403
320,"The grand coalition has already launched some measures; however, these are not enough.",403
321,We want only half of executive board compensation and severance payments above one million euros to be tax deductible.,403
322,"In the future, performance-related compensation components such as bonus payments are to have multi-year reference periods and are only to be paid out at the end of this multi-year period.",403
323,"The transfer of former members of the Executive Board to the Supervisory Board of a listed stock corporation shall only be possible after two years, unless the",403
324,election is based on a proposal by shareholders holding at least one quarter of the voting rights.,403
325,- Combating tax evasion.,605
326,We want a fair distribution of opportunities and burdens.,503
327,This includes consistently combating tax evasion and the shifting of funds to tax havens.,605
328,Conservatives and market liberals were up to no trick to filibuster our legislative initiative.,305
329,"We will consistently continue on the path of combating tax evasion, because tax evasion harms us all and prevents a fair distribution of the burden.",605
330,"We are in favor of a law to combat tax evasion, on the basis of which the tax authorities' investigative capabilities vis-à-vis internationally active tax evaders will be strengthened.",605
331,We also continue to rely on a clever combination of pressure on uncooperative tax havens,107
332,and targeted cooperation with countries willing to cooperate.,107
333,We have already made good progress here.,107
334,"The threat of the ""black list"" of the OECD shows effect!",107
335,More and more countries around the world are focusing on transparency and the exchange of information.,107
336,"As a government, we will be vigilant to ensure that these announcements are followed by action.",305
337,- TÜV for financial products.,403
338,We will also strengthen consumer protection and establish a financial MOT.,403
339,Consumers have often been unintentionally pressured into buying financial products that did not suit their particular circumstances.,403
340,"To protect consumers, we rely on increased responsibility and liability of intermediaries and advisors of financial products.",403
341,"Furthermore, risks and effects of financial products must be documented and reviewed.",403
342,"This is where the protective effect of a ""financial MOT"" can be most effective.",403
343,- Stock exchange turnover tax.,403
344,"To curb short-term speculation, we initially want to introduce a stock exchange turnover tax modeled on the British stamp duty.",403
345,"At the same time, we advocate that such a tax be introduced throughout Europe",108
346,and levied on further financial transactions.,403
347,Fair competition as a guiding principle of regulatory policy,NA
348,- Effective competition and antitrust policy.,403
349,We promote responsible entrepreneurship through fair competition.,403
350,Entrepreneurial freedom and social responsibility are inseparable in a social market economy.,403
351,We will ensure that the principle of competition is not violated when companies merge.,403
352,- Support for quality competition in public procurement law.,403
353,We support competition for the quality of products and services.,403
354,"However, it must not be at the expense of working conditions and wages.",701
355,We will use the opportunities offered by the new public procurement law to strengthen small and medium-sized enterprises and companies that comply with collective agreements,403
356,Priority for corporate management geared to long-term success,NA
357,- Corporate responsibility to the common good.,403
358,We will stipulate in the Stock Corporation Act that companies have a duty not only to shareholders but also to employees and the common good.,403
359,- Voting rights for shareholders after holding period.,403
360,Influencing companies should not be done in the short-term profit interest.,403
361,Full voting rights for shareholders at general meetings should therefore be linked to a minimum holding period of one year.,403
362,- Expand employee share ownership.,701
363,"With the new regulation of employee share ownership, we have taken an important step in Germany toward giving employees a share in the economic success of entrepreneurs.",701
364,"In times of crisis, where employees temporarily forgo income in order to stabilize their companies, they must also be given a stake in the company with all rights in return.",403
365,- Better training for managers.,403
366,"For decades, questions of corporate management were viewed exclusively from the perspective of market logic.",403
367,This also had an impact on the training of managers.,403
368,"Up to now, studies have been primarily concerned with teaching analytical and quantitative techniques and still far too little with developing a sense of responsibility and social competence.",403
369,Those who demand responsible companies need responsible managers.,403
370,"In the future, this must already be reflected in training.",403
371,- Support voluntary initiatives by industry.,401
372,"Politics, business and civil society can only lay the foundations for sustainable economic growth together.",416
373,"Companies and banks that act responsibly in the sense of corporate social responsibility will deliver better results, higher quality and have confident, motivated employees in the long term.",403
374,- Balance sheets and accounting for the long term and sustainability.,403
375,"For us, companies are not only committed to the financial profit of their owners (''shareholder value'').",403
376,"Investors and the public need reliable information on companies' performance in the areas of climate protection, social responsibility and the quality of corporate governance.",403
377,Targeted and meaningful reporting systems on these indicators are a basis for long-term and sustainable capital markets.,403
378,"- ""Good work"" as an assessment yardstick.",701
379,"We will enforce that companies participate in the process of creating a human potential index, which makes the quality of their jobs comparable from the point of view of ""good work"".",701
380,"As a result, rating agencies and banks can use the quality of work in a company as a further criterion in company valuation.",403
381,The Human Potential Index is therefore an important supplement to the DGB Good Work Index.,701
382,Sustainable growth and stability An economic policy that looks at the big picture.,NA
383,- Active economic policy.,409
384,"In an exceptional economic situation, the government must take decisive and targeted countermeasures with a countercyclical fiscal policy, i.e. with additional government spending over a limited period of time.",409
385,"It can at least partially absorb the lack of private demand, thus building a bridge to the next upswing.",409
386,- New debt rule.,414
387,Debt in the long run is a serious problem for the future viability of our country.,414
388,"We stand for the fact that the debt, which is now necessary for economic stabilization, will be consistently reduced again in good times.",414
389,"However, debt reduction must not be allowed to prevent necessary investments.",408
390,"As a general rule, successful fiscal consolidation requires stable revenues and economic growth.",414
391,We are in favor of a cyclically appropriate debt rule that limits the deficit of the federal and state governments.,414
392,The rule provides for greater leeway in economic downturns and special crisis situations;,408
393,"however, deficits must be made up again in better economic times.",414
394,- Preservation of the industrial base.,411
395,Germany will continue to need a strong industry as the basis of a knowledge-intensive and competitive economy.,411
396,"In the crisis, the state can and must contribute with active industrial policy to maintaining and modernizing the industrial base and the jobs associated with it.",411
397,- Innovative services.,408
398,A large majority of employees work in the service sector.,408
399,"Strong industry and innovative services are not mutually exclusive, but rather mutually dependent.",411
400,- Strategic and ecological industrial policy of the future.,411
401,A strategically oriented industrial policy can do more than just preserve substance:,411
402,"Of central importance to us is the expansion of promising lead markets such as climate and environmental technology, health technologies and the creative industries.",411
403,This is where our economy has the greatest opportunities for growth.,410
404,Social democratic economic policy has shown that intelligent state instruments are indispensable for opening up new markets:,402
405,Our policy to promote renewable energies is being copied around the world.,402
406,"Strategic industrial policy dovetails the promotion of research, infrastructure development, incentives for private demand, regulations, and the targeted use of public buyer power.",411
407,"Ecological industrial policy does not only concern ""green products"", but is understood by us as a cross-sectional task - with the aim of saving resources through more efficient technologies.",411
408,Creating new work in the markets of the future,NA
409,- Full employment.,408
410,"Even if the economic crisis is setting us back, a central goal of social democratic policy remains that all people should be able to earn their own living through fairly paid work.",701
411,New jobs are being created primarily in the fields of social need.,408
412,"Climate protection, the growing international division of labor and an aging society are generating demand for new products and services.",408
413,- Work and the environment.,408
414,"We need to transform our industrial society, be much more efficient with resources and switch to renewable raw materials.",501
415,"To achieve this, we want to better position our economy in a changing international division of labor and keep it competitive:",408
416,As a global provider of 21st century environmental technologies and services.,411
417,"- Working ""people for people"".",408
418,"New work is also created where people provide services for people: Care, education, nursing.",408
419,The healthcare sector already employs one in ten of the workforce.,408
420,"With rising life expectancy and higher female labor force participation, demand for personnel-intensive services continues to rise.",408
421,"In order to exploit this employment potential, we also want to provide greater support to private households as clients and employers.",408
422,- Creative work.,408
423,The creative industries have been making an increasingly strong contribution to economic and employment growth for years.,410
424,We want to facilitate business start-ups and access to start-up capital as well as microcredits.,402
425,"In the digital world, we need a balance between user-friendliness",403
426,and the fair remuneration of creative work.,403
427,We are striving for better social security for the self-employed and employees in the creative industries.,503
428,More impetus for research and innovation,NA
429,- Intensification of research spending.,411
430,Our knowledge and inventiveness are the basis of our prosperity.,411
431,We want to increase overall economic research and development spending to 3 percent of gross domestic product by 2015.,411
432,- Tax credits for research.,411
433,"To achieve this goal, we will use new financial policy leeway to supplement existing forms of project funding with tax incentives for corporate research efforts in the form of a tax credit for small and medium-sized enterprises.",402
434,Medium-sized companies and entrepreneurship,NA
435,- The social market economy needs strong entrepreneurs.,401
436,"Without the ideas and initiatives, but also without the social responsibility of entrepreneurs, a dynamic and social market economy would be inconceivable.",403
437,We want to maintain a strong SME sector in Germany.,403
438,- Promotion of small and medium-sized enterprises.,403
439,We want to ensure secure access to capital for SMEs.,403
440,Promoting small and medium-sized enterprises also involves providing greater support for the cooperative sector.,403
441,- New start-up culture.,402
442,"We will create new contact points for start-ups throughout the country in the form of a one-stop store, make it",402
443,easier for them to access venture capital,402
444,"and develop, implement and expand targeted advisory services, especially for older founders and women.",706
445,- Less bureaucracy.,303
446,"We are committed to further simplifying administrative procedures by, among other things, further reducing information and statistical obligations",303
447,and enabling documentation requirements to be fulfilled electronically.,303
448,- Strengthen the High-Tech Start-up Fund model and extend it to other areas.,402
449,"The state should be able to act as a co-investor together with private capital providers in the strategic areas of energy, transport and social services.",402
450,- Support for the craft sector.,403
451,The skilled trades are a central pillar of our economy.,704
452,"Since the beginning of 2009, there have been even better opportunities for private households to deduct crafts services from their taxes.",402
453,We are continuing our program for energy-efficient building refurbishment.,402
454,Future-oriented expansion of infrastructure and networks Safeguarding services of general interest,NA
455,- Public services.,413
456,The state has a democratic responsibility to ensure that all citizens have access to services of general interest.,413
457,Municipal companies and facilities ensure high-quality public goods and an efficient infrastructure.,413
458,We therefore advocate fair competition rules for public companies in national and European law.,403
459,"In the EU, we advocate leaving it up to the EU member states and their local authorities to decide which services of general interest are provided and how.",110
460,- Fair competition and reasonable prices.,403
461,"For the liberalized network industries such as energy, telecommunications and postal services, as well as for municipal services, we want to create a stable and reliable legal framework that protects consumers,",403
462,stimulates and rewards investment,402
463,", and secures and creates high-quality jobs.",408
464,- Securing funding.,411
465,We want to further develop the financing instruments for transport infrastructure.,411
466,"The state does not have to provide everything itself, but it must ensure access to public goods.",401
467,"Where private parties are involved, we ask not only about the short-term benefits to public finances, but also about the impact on future policy-making options.",404
468,"- ""Networks of the future"".",411
469,"Large investments will be required for the power grids of the future, especially if renewable energies will account for a larger share of the power supply in the future.",411
470,We want regulation of energy networks that actually incentivizes investment.,403
471,We advocate the establishment of a Deutsche Netz AG.,403
472,We can also imagine government involvement in this.,413
473,- Expansion of the broadband network.,411
474,We will drive forward the broadband initiative,411
475,and ensure that all citizens and businesses have access to a high-performance broadband connection.,411
476,"At the same time, as many households as possible are to be connected to the particularly high-performance fiber-optic technology.",411
477,Responsible consumers in the social market economy,NA
478,- Empower and protect consumers.,403
479,"People should be able to trust that food is healthy, appliances are safe and phones are not cost traps, and that financial investments deliver what they promise.",403
480,- Demand is a decisive factor.,403
481,"In a market economy, consumers also decide on the success or failure of companies and thus on the future viability of an economy and the social and ecological quality of a society.",403
482,"Consumers have opportunities to exert influence, and it is important to make use of them.",403
483,"Consumer policy enables the state, business and civil society to work together.",403
484,"The goals of our consumer policy are information, transparency and safety.",403
485,- Consumer information.,403
486,Consumers want to be informed.,403
487,They should be given more rights to do this and be able to compare products quickly and easily and make an informed purchasing decision.,403
488,"That is why we want traffic light labeling for nutritional values in food and clear statements about the content, properties and origin of products. -",403
489,Enforcing consumer rights.,403
490,We want to strengthen consumers and support them so that they get their rights.,403
491,"For this, we need strong consumer organizations.",403
