Title,Political Lean,Score,Text
Liberación negra y estrategia revolucionaria: un encuentro para socialistas negros,Liberal,1,
Liberación negra y estrategia revolucionaria: un encuentro para socialistas negros,Liberal,7,
La falta de acción de Joe Biden provocará que muchas personas no voten en absoluto,Liberal,1576,
"Desde Canadá hasta Brasil, las élites ricas de derecha están difundiendo protestas de ""camioneros""",Liberal,15,
Me interesaría escuchar las opiniones socialistas sobre esta opinión expresada de manera inexperta.,Liberal,5,
¡¡jajaja!!,Liberal,72,
La decisión de Biden de confiscar los activos afganos es inmoral e inhumana,Liberal,10,
La NFL debería afrontar una multa masiva por jugar el Super Bowl sin mascarilla,Liberal,122,
Algunas preguntas,Liberal,1,"Soy un aspirante a socialista demócrata, pero tengo algunas preguntas para ti.

1. ¿Apoyas la desfinanciación de la policía? Si es así, ¿por qué?

2. ¿Apoyas el movimiento BDS contra Israel? Si es así, ¿por qué?

3. ¿Apoyas al régimen venezolano? Si es así, ¿por qué?"
"“La línea azul simplemente hace que la bandera sea fácil de rasgar, como si fuera una perforación”",No sé si soy socialdemócrata o socialdemócrata.,206,
Los problemas financieros y legales de Donald Trump acaban de empeorar,Liberal,752,
"La burbuja de la deuda estadounidense ha crecido exponencialmente en las últimas décadas, tanto a nivel nacional como personal. Los estadounidenses tienen ahora más de 14 billones de dólares en deuda personal, lo que es el resultado de la disminución del salario social. ¿Cómo le ha afectado personalmente esta creciente crisis de la deuda?",Liberal,3,
"El podcast de la Flota Civil, episodio 19: el periodista italiano Lorenzo D'Agostino explica cómo el acuerdo entre Italia y Libia patrocinado por la UE en 2017 hizo que el desierto fuera más peligroso y cómo el escuadrón antimafia de Italia encarcela a refugiados por conducir barcos a través del Mediterráneo",Liberal,1,
El Departamento de Justicia emite una guía sobre los requisitos de accesibilidad a las urnas electorales según la Ley de Estadounidenses con Discapacidades,Liberal,63,
Liberal,Liberal,10,La mía fue porque me di cuenta de la cruel realidad del capitalismo debido al cambio climático.
Estas son las medidas que está preparando la administración Biden para combatir la inflación,Liberal,18,
"Apropiación imperialista en la economía mundial: la sangría del Sur global a través del intercambio desigual es de 10 billones de dólares al año, 1990-2015",Liberal,0,
"Apropiación imperialista en la economía mundial: la sangría del Sur global a través del intercambio desigual es de 10 billones de dólares al año, 1990-2015",Liberal,12,
"Apropiación imperialista en la economía mundial: la sangría del Sur global a través del intercambio desigual es de 10 billones de dólares al año, 1990-2015",Liberal,12,
Metro DC DSA trabajó con Belly of the Beast para realizar este video sobre el bloqueo estadounidense a Cuba y su impacto en la fabricación de vacunas.,Liberal,2,
Pequeño recordatorio,Liberal,48,
Explique el beneficio del socialismo democrático para la economía en su conjunto,Liberal,3,"Hola a todos, 

Soy nuevo en este subreddit y vengo con una pregunta abierta con buenas intenciones con la esperanza de aprender. ¡No estoy en contra del socialismo democrático de ninguna manera! Soy economista, investigador y doctor. Puede que muchos no lo sepan, pero en las universidades se enseña ampliamente que muchas de las teorías que impulsan el socialismo democrático han demostrado tener efectos nocivos en la economía para las masas. Sin embargo, el socialismo democrático aún cuenta con mucho apoyo de personas inteligentes. 

Mi investigación me permite observar el lado científico del socialismo demográfico, pero creo que se aprende mucho hablando con los propios partidarios. Entonces, ¿alguien podría explicar el argumento de que el socialismo democrático tiene un impacto positivo en la economía para las masas cuando se trata de grandes países desarrollados como los Estados Unidos? 

¡Gracias!"
EEUU acusa a sitio web financiero de difundir propaganda rusa,Liberal,263,
Cómo mantenerse a salvo en la calle: una breve guía de CrimethInc,Liberal,4,
Hablando con Chuds como,Liberal,1746,
El ambientalismo te lleva por defecto al socialismo,Liberal,48,"¿Qué tipo de control de armas civiles, si lo hay, cree usted que sería el más apropiado en un estado ideal?"
"El tapiz global de alternativas: historias de resiliencia, existencia y reexistencia",Liberal,1,
Liberal,Liberal,3,
"Brandon Ingram, trabajador de Frito-Lay, resultó gravemente electrocutado en el trabajo, quedó incapacitado y se le negó atención médica. Ahora Brandon, su esposa y sus hijos están siendo acosados ​​y filmados en secreto por agentes de la empresa. Esta es la historia más perturbadora de Frito-Lay que hemos cubierto. @moreperfectus",Liberal,12577,
Bélgica aprueba la semana laboral de cuatro días y da a los empleados el derecho a ignorar a sus jefes después del trabajo,Liberal,1049,
Bélgica aprueba la semana laboral de cuatro días y da a los empleados el derecho a ignorar a sus jefes después del trabajo,Liberal,190,
¿Estaría usted de acuerdo con esta afirmación?,Liberal,24,"Ya he oído esto antes y me gustaría conocer la opinión de otras personas al respecto.

""Estados Unidos puede resumirse como una oligarquía teocrática que se disfraza de meritocracia democrática""."
"¿Qué tal si no le dan dinero al complejo militar industrial, le dan armas a otros países, no hacen negocios por intermediarios, apoyan a dictadores, dejan de aplastar a las naciones que quieren nacionalizar sus recursos e invierten de nuevo en la gente de sus propios países...?",Liberal,29,
El modelo nórdico en concreto,Liberal,2,"Todo el mundo sabe que los países nórdicos (***Noruega, Suecia, Dinamarca, Finlandia e Islandia***) han superado al resto del mundo en la mayoría de los indicadores, como la felicidad, la satisfacción de los trabajadores, la menor corrupción, la menor desigualdad de la riqueza, el sistema educativo, etc.

Tras haber estudiado el modelo nórdico a través de Internet, entiendo el concepto general, pero me gustaría profundizar en él. Mi pregunta es la siguiente:

Personas de ***Noruega, Suecia, Dinamarca, Finlandia o Islandia***, ¿podrían describirme algunas de sus políticas más definitorias que parecen tener una tendencia más izquierdista en general?

Obsérvese aquí que **no estoy confundiendo a los países escandinavos con países socialistas**, ya que sé que son *economías de libre mercado* con *políticas socialdemócratas de izquierda*, como un sistema de bienestar sólido, educación gratuita, atención médica gratuita, un sistema sindical tripartito (sé que no tienen salario mínimo) que dan como resultado la reducción de las desigualdades generales.

Me gustaría conocer las leyes y políticas concretas vigentes en los países escandinavos. Como persona de Canadá, puedo identificarme con muchas de esas políticas, como la atención médica o la educación gratuitas, y me gustaría poder hacer una comparación entre los escandinavos y el resto del mundo, así como con Canadá."
Chris Hedges entrevista al economista Richard Wolff sobre el precario estado de la economía estadounidense y sus consecuencias,Liberal,24,
Tribunal Supremo dictamina que Matt Hancock rompió las reglas sobre el nombramiento de Dido Harding,Liberal,1,
Italia: Los leones de Piacenza han sido enjaulados - Battaglia Comunista,Liberal,4,
"¡Los trabajadores de las cafeterías necesitan hablar entre ellos! Estamos organizando esta reunión para brindar recursos, apoyo y ayuda a los trabajadores de las cafeterías que desean crear un círculo industrial a nivel nacional.",Liberal,12,
Los trabajadores del café de Boston lideran el camino con una organización comunitaria audaz,Liberal,12,
Una nueva diplomacia para China,Liberal,4,
La banca como socialista,Liberal,3,"¿Dónde haces operaciones bancarias? Dudo que haya muchos bancos éticos, pero supongo que estoy tratando de encontrar el “mal menor” (referencia a The Witcher). He notado que Amalgamated Bank es propiedad de los trabajadores, algo que apoyo. Pensé que Aspiration sería una buena opción, pero tuve una experiencia de pesadilla. ¿Cuáles son tus sugerencias?"
La firma de contabilidad de la Organización Trump dice que 10 años de estados financieros no son confiables,Liberal,259,
"Aumentan las esperanzas de un acuerdo con Ucrania tras el regreso de ""algunas tropas rusas a sus bases""",Liberal,50,
La tortura en la Argelia ocupada por Francia: La cuestión de Henri Alleg,Liberal,5,
¿Qué opinas sobre este tuit de Young Labour UK?,Liberal,28,
Conciencia de clase,Liberal,530,
Estoy tan ansioso y deprimido.,Liberal,53,Soy una minoría y me preocupa el ascenso del fascismo en Estados Unidos. Me da mucho miedo que pueda haber un genocidio de personas negras y todo el mundo parece pensar que el mundo es un desastre. ¿Hasta qué punto debería preocuparme y qué puedo hacer para salvarme?
¿Qué escribieron los medios occidentales sobre la URSS y Stalin en 1942? - Workers Today,Liberal,14,
Ocho principios del socialismo,Liberal,0,
Los promotores quieren construir sobre una fosa común de esclavos africanos y sus descendientes presentan una demanda,Liberal,17,
Liberal,Liberal,30,
México: cartografía de la guerra | Comité de Apoyo a Chiapas,Liberal,1,
En defensa del “edificio gentrificador”,Liberal,37,
México: cartografía de la guerra | Comité de Apoyo a Chiapas,Liberal,1,
"El colapso de las sociedades complejas, de Joseph Tainter (enlace PDF incluido). Siéntete libre de seguirlo y debatirlo en los comentarios.",Liberal,2,
El Comité Internacional de la DSA está muy equivocado respecto a Ucrania,Liberal,7,
Pregunta sobre la producción energética de Alemania en el contexto de Ucrania y Rusia,Liberal,15,"Se ha considerado que Alemania no está tan dispuesta a entrar en conflicto con Rusia como otros países de Europa. Sé que es una interpretación muy simplista, pero se supone que la razón está relacionada con la cantidad de gas natural que Alemania obtiene de Rusia y quiere obtener en el futuro, lo que limita la dureza que puede tener Alemania con Rusia. 

Dejando eso de lado, ¿cuál es el problema de que Alemania aumente sus energías renovables (principalmente solar y eólica)? ¿Es un problema de materias primas? ¿Falta de capital? ¿Falta de experiencia? ¿Por qué Alemania no tiene ya calefacción eléctrica en los hogares alimentada por energía renovable? 

Un vistazo rápido a la página de Wikipedia sobre la política energética alemana parece sugerir que Alemania realmente está presionando a los consumidores habituales para que paguen con fuerza la transición a la energía renovable. 

[https://en.wikipedia.org/wiki/Energiewende#Criticisms](https://en.wikipedia.org/wiki/Energiewende#Criticisms)"
¿Qué pasa con los liberales que defienden el fascismo?,Liberal,127,"Al igual que Jesucristo, vi un tuit publicado por un idiota conservador que decía que el hecho de que Eminem se arrodille es ""antiamericano"" y le conté a mi madre, una niña de la generación de los baby boomers, lo cabreado que me pone esta mierda, ya que me peleé con un amigo después de descubrir que era un amante de Ben Shapiro y un día empezó a gritar sobre Kapernick. Ella es una liberal que ""vota por los azules sin importar quién"" y se puso a despotricar sobre cómo ""simplemente ignórenlos"" y cómo ""tienen derecho a opinar"". 

Si este no es un ejemplo clásico de cómo los liberales permiten a los extremistas de extrema derecha, no sé qué es. Entonces te garantizo que estos payasos empezarán a agarrarse las perlas cuando Trump o DeSantis se conviertan en presidentes en 2024 y simplemente decidan no dimitir nunca y empezar a formar ejércitos de camisas pardas. 

Por eso soy comunista, no se debería tolerar a los fascistas. ¿Qué parte de esto es tan difícil de entender?"
La OTAN es una organización imperialista y no deberíamos utilizar la “autodeterminación de Ucrania” como razón para justificar su decisión de unirse a ella.,Los baristas de Buffalo desatan una ola de organización en Starbucks,64,"Veo que muchos izquierdistas se dejan llevar por el argumento de la “independencia”, según el cual, de alguna manera, Ucrania tiene razón al unirse a la OTAN simplemente porque es un país independiente. El apoyo a la soberanía de los países no es una excusa para que estos países se dediquen al imperialismo."
¿Cuál fue la principal razón por la que nosotros y nuestros aliados de la OTAN intervinimos en Libia y derrocamos a Gadafi?,Liberal,5,
¿Ayuda para formar una cooperativa de trabajadores?,Liberal,16,Liberal
"El gobernador demócrata de Connecticut, Ned Lamont, quiere poner un límite a los precios de los medicamentos recetados, incluidos aquellos que pueden costar miles de dólares al año.",Liberal,123,
Victoria de huelga: trabajadores de supermercados King Soopers en Colorado obtienen importantes aumentos salariales,Liberal,308,
Liberal,Liberal,15,
1 de cada 3 grandes contratistas de defensa se benefician del sufrimiento de los presos estadounidenses,Liberal,74,
"Cómo Estados Unidos mantiene vivo y en buen estado el fascismo en Italia hoy, como lo ha mantenido vivo todos los años desde 1943",Liberal,45,
"El representante republicano Adam Kinzinger dice que los republicanos que apoyan a Putin tienen un ""afecto por el autoritarismo""",Liberal,558,
El contable de Trump dice que no se puede confiar en años de estados financieros,Liberal,852,
Discurso del Presidente de Ucrania sobre la unidad de la sociedad ucraniana,Liberal,61,
Los verdaderos adversarios de Estados Unidos son sus aliados europeos y otros,Liberal,4,
Estados Unidos ha matado a más de 20 millones de personas en 37 países desde la Segunda Guerra Mundial,Liberal,2703,
Cómo respondió Stalin a las sanciones contra la URSS - Workers Today,Liberal,5,
Los lobbistas ucranianos lanzaron una campaña sin precedentes contra los legisladores estadounidenses en 2021,Liberal,6,
Kwame Nkrumah fue un verdadero visionario,Liberal,15,
HOLOCAUSTO CAPITALISTA 3: Cronología de las atrocidades y el número de muertos en EE. UU. (versión para todos los públicos),Liberal,6,
"¡Todo el poder al pueblo! Sí, los Panteras eran socialistas.",Liberal,15,
SocDems de Irlanda del Norte: ¿Apoya usted al Sinn Fein o al SDLP?,Liberal,35,
Amor y socialismo,Liberal,3,
Los multimillonarios son un fracaso político.,Liberal,190,
Amor y socialismo,Liberal,6,
El verdadero polvo,Liberal,164,
¿Cómo sucede?,Liberal,1803,
"La secretaria de Estado de Michigan, Jocelyn Benson, se prepara para la reelección",Liberal,27,
El Partido Republicano está alentando a los insurrectos,Liberal,161,
“Mi socialismo rosa se volvió rojo como una herida”: entrevista imposible desde Ucrania,Liberal,26,
