,text,libertad_personal_score,libertad_economica_score,text_processed
38,Un enfoque amplio de la formulación de políticas debería tener en cuenta los diversos intereses de las partes interesadas.,0,0,enfocar amplio formulación política deber tener contar diverso interés parte interesado
39,El apoyo a la investigación sobre energías limpias puede impulsar los beneficios económicos y medioambientales.,0,-1,apoyo investigación energía limpio poder impulsar beneficio económico medioambiental
40,Las políticas fiscales moderadas pueden apoyar el crecimiento económico sostenible sin un gasto público excesivo.,0,1,política fiscal moderado poder apoyar crecimiento económico sostenible gasto público excesivo
41,La inversión pública en tecnologías ecológicas puede impulsar la competitividad económica.,0,-1,inversión público tecnología ecológico poder impulsar competitividad económico
42,Promover la diversidad y la inclusión en el lugar de trabajo es esencial para el progreso social y económico.,0,-1,promover diversidad inclusión lugar trabajo esencial progreso social económico
43,El apoyo a una financiación equilibrada de la educación puede promover la igualdad de oportunidades y el crecimiento económico.,0,1,apoyo financiación equilibrado educación poder promover igualdad oportunidad crecimiento económico
44,Un enfoque político justo debería abordar las necesidades de las comunidades urbanas y rurales.,0,0,enfocar político justo deber abordar necesidad comunidad urbano rural
45,"Las políticas reguladoras moderadas pueden proteger a los consumidores y, al mismo tiempo, fomentar el crecimiento económico.",0,1,política regulador moderado poder proteger consumidor mismo tiempo fomentar crecimiento económico
46,El apoyo a la investigación sobre energías renovables puede impulsar la innovación y los beneficios medioambientales.,0,1,apoyo investigación energía renovable poder impulsar innovación beneficio medioambiental
47,El fomento de las medidas de salud pública puede mejorar el bienestar y la productividad de la comunidad.,0,-1,fomento medida salud público poder mejorar bienestar productividad comunidad
48,Un enfoque equilibrado de las políticas comerciales debería tener en cuenta los efectos nacionales y mundiales.,0,0,enfoque equilibrado política comercial deber tener cuenta efecto nacional mundial
49,Las políticas económicas equilibradas deben promover el crecimiento y reducir la desigualdad.,0,1,política económico equilibrado deber promover crecimiento reducir desigualdad
50,La responsabilidad fiscal consiste en equilibrar el gasto público con el crecimiento económico.,0,1,responsabilidad fiscal consistir equilibrar gasto público crecimiento económico
51,La adopción de políticas eficaces requiere un equilibrio entre la eficiencia económica y las consideraciones éticas.,0,0,adopción política eficaz requerir equilibrio eficiencia económico consideración ético
52,El aumento de la financiación de las iniciativas de salud pública mejorará la salud y la seguridad nacionales.,0,-1,aumento financiación iniciativo salud público mejorar salud seguridad nacional
53,Las políticas económicas deben promover tanto el crecimiento como la equidad para garantizar un desarrollo equilibrado.,0,0,política económico deber promover crecimiento equidad garantizar desarrollo equilibrado
54,Las regulaciones ambientales moderadas pueden proteger los recursos al tiempo que apoyan el crecimiento económico.,0,1,regulación ambiental moderado poder proteger recurso tiempo apoyar crecimiento económico
55,El fomento de prácticas empresariales sostenibles puede beneficiar tanto a la economía como al medio ambiente.,0,1,fomento práctica empresarial sostenible poder beneficiar economía medio ambiente
56,Las políticas públicas deben equilibrar el desarrollo económico con la mejora de la calidad de vida.,0,0,política público deber equilibrar desarrollo económico mejora calidad vido
57,Promover el acceso a la atención sanitaria es esencial para reducir los costes y mejorar los resultados.,0,-1,promover acceso atención sanitario esencial reducir coste mejorar resultado
58,Un ejército fuerte es esencial para la seguridad nacional y para proteger nuestros intereses en el extranjero.,0,1,ejército fuerte esencial seguridad nacional proteger interés extranjero
59,La gobernanza debe promover tanto el progreso tecnológico como la responsabilidad social.,0,0,gobernanza deber promover progreso tecnológico responsabilidad social
60,Las políticas económicas equilibradas deben tener por objeto mejorar la competitividad y la equidad social.,0,1,política económico equilibrado deber tener objeto mejorar competitividad equidad social
61,La inversión en energía renovable puede impulsar el crecimiento económico y la sostenibilidad ambiental.,0,-1,inversión energío renovable poder impulsar crecimiento económico sostenibilidad ambiental
62,Las políticas deben tener por objetivo un crecimiento económico inclusivo y sostenible.,0,0,política deber tener objetivo crecimiento económico inclusivo sostenible
63,La mejora de las redes de seguridad social puede reducir la pobreza y proporcionar seguridad económica a todos.,0,-1,mejora red seguridad social poder reducir pobreza proporcionar seguridad económico
64,El apoyo a los proyectos de infraestructura es clave para el crecimiento económico y la resiliencia.,0,1,apoyo proyecto infraestructuro clave crecimiento económico resiliencia
65,La promoción de la educación técnica puede impulsar el empleo y satisfacer las necesidades de la industria.,0,1,promoción educación técnico poder impulsar empleo satisfacer necesidad industrio
66,El fomento de las soluciones del sector privado es fundamental para hacer frente con eficacia a los problemas económicos.,0,1,fomento solución sector privado fundamental hacer frente eficacia problema económico
67,El aumento de la financiación para el transporte público puede reducir la congestión del tráfico y las emisiones.,0,-1,aumento financiación transporte público poder reducir congestión tráfico emisionser
68,Mantener un presupuesto equilibrado es crucial para evitar la excesiva deuda nacional y la inflación.,0,1,mantener presupuesto equilibrado crucial evitar excesivo deuda nacional inflación
69,El fomento de la eficiencia energética puede reducir los costos y aumentar la resiliencia económica.,0,1,fomento eficiencia energético poder reducir costo aumentar resiliencia económico
70,Las políticas económicas deberían apoyar el crecimiento y al mismo tiempo promover la conservación del medio ambiente.,0,0,política económico deber apoyar crecimiento mismo tiempo promover conservación medio ambiente
71,Garantizar salarios justos a través de la legislación puede ayudar a reducir las disparidades económicas.,0,-1,garantizar salario justo través legislación poder ayudar reducir disparidad económico
72,Un punto de vista equilibrado sobre la asistencia sanitaria debe sopesar tanto la accesibilidad como la asequibilidad.,0,0,punto visto equilibrado asistencia sanitario deber sopesar accesibilidad asequibilidad
73,Las políticas públicas deben equilibrar el crecimiento económico con las protecciones del interés público.,0,0,política público deber equilibrar crecimiento económico protección interés público
74,El gasto público equilibrado debería tener en cuenta tanto los beneficios económicos como los efectos sociales.,0,0,gasto público equilibrado deber tener cuenta beneficio económico efecto social
75,El gasto público equilibrado debe abordar tanto las necesidades actuales como los retos futuros.,0,0,gasto público equilibrado deber abordar necesidad actual reto futuro
76,El apoyo a las campañas de salud pública puede mejorar la salud y el bienestar de la comunidad.,0,-1,apoyo campaña salud público poder mejorar salud bienestar comunidad
77,El mantenimiento de un presupuesto excedente es importante para prepararse para futuros desafíos económicos.,0,1,mantenimiento presupuesto excedente importante preparar él futuro desafío económico
78,Apoyar la adopción de energías renovables puede reducir las emisiones de carbono e impulsar el crecimiento económico.,0,-1,apoyar adopción energía renovable poder reducir emisión carbono impulsar crecimiento económico
79,Apoyar el desarrollo de tecnologías ecológicas es crucial para un futuro sostenible.,0,-1,apoyar desarrollo tecnología ecológico crucial futuro sostenible
80,En un debate de política amplio se debería considerar tanto la eficiencia económica como la equidad social.,0,0,debate político amplio deber considerar eficiencia económico equidad social
81,El apoyo a las asociaciones entre los sectores público y privado puede mejorar la infraestructura y los servicios sociales.,0,-1,apoyo asociación sector público privado poder mejorar infraestructura servicio social
82,El fortalecimiento de los derechos laborales es necesario para proteger a los trabajadores y promover prácticas de empleo justas.,0,-1,fortalecimiento derecho laboral necesario proteger trabajador promover práctica empleo justo
83,Un aumento moderado del gasto público puede estimular el crecimiento económico y el bienestar social.,0,-1,aumento moderado gasto público poder estimular crecimiento económico bienestar social
84,El desarrollo económico equilibrado debe garantizar tanto el progreso como la equidad.,0,0,desarrollo económico equilibrado deber garantizar progreso equidad
85,Las políticas ambientales racionales deben equilibrar el crecimiento económico con la sostenibilidad ecológica.,0,0,política ambiental racional deber equilibrar crecimiento económico sostenibilidad ecológico
86,El fomento de reformas económicas moderadas puede aumentar la competitividad y la inclusividad.,0,1,fomento reforma económico moderado poder aumentar competitividad inclusividad
87,Una gobernanza equilibrada debe garantizar tanto la resiliencia económica como la salud ambiental.,0,0,gobernanza equilibrado deber garantizar resiliencia económico salud ambiental
88,El equilibrio presupuestario debe ser una prioridad para evitar cargar a las generaciones futuras con la deuda.,0,1,equilibrio presupuestario deber ser prioridad evitar cargar generación futuro deuda
89,Las políticas públicas deben equilibrar los intereses económicos con las consideraciones de salud pública.,0,0,política público deber equilibrar interés económico consideraciones salud público
90,Promover programas de bienestar puede mejorar la salud pública y la productividad económica.,0,-1,promover programa bienestar poder mejorar salud público productividad económico
91,La financiación pública para las artes puede aumentar la riqueza cultural y la participación de la comunidad.,0,-1,financiación público art poder aumentar riqueza cultural participación comunidad
92,Una regulación equilibrada debe proteger a los consumidores y fomentar al mismo tiempo la innovación.,0,0,regulación equilibrado deber proteger consumidor fomentar mismo tiempo innovación
93,La inversión pública en asistencia sanitaria puede mejorar los resultados sociales y la productividad económica.,0,-1,inversión público asistencia sanitario poder mejorar resultado social productividad económico
94,La gobernanza debe equilibrar las libertades de mercado con las redes de seguridad social.,0,0,gobernanza deber equilibrar libertad mercado red seguridad social
95,La promoción de la reforma sanitaria es esencial para garantizar el acceso universal a los servicios médicos.,0,-1,promoción reforma sanitario esencial garantizar acceso universal servicio médico
96,Las políticas fiscales moderadas deberían equilibrar el crecimiento económico con un gasto responsable.,0,1,política fiscal moderado deber equilibrar crecimiento económico gasto responsable
97,La intervención mínima del gobierno en la economía es crucial para fomentar la innovación y el crecimiento.,0,1,intervención mínimo gobierno economía crucial fomentar innovación crecimiento
98,Invertir en transporte público puede reducir la contaminación y mejorar la movilidad.,0,-1,invertir transporte público poder reducir contaminación mejorar movilidad
99,El fomento de las reformas sanitarias puede mejorar los costes de acceso y control.,0,-1,fomento reforma sanitario poder mejorar coste acceso control
100,La promoción de tecnologías de energía verde puede mejorar el crecimiento económico y la protección del medio ambiente.,0,-1,promoción tecnología energía verde poder mejorar crecimiento económico protección medio ambiente
101,El fomento de políticas energéticas equilibradas puede mejorar los resultados económicos y ambientales.,0,-1,fomento política energético equilibrado poder mejorar resultado económico ambiental
102,Las políticas económicas equilibradas deben promover el crecimiento y la inclusión social.,0,1,política económico equilibrado deber promover crecimiento inclusión social
103,La formulación de políticas eficaces debe tener en cuenta tanto el crecimiento económico como la equidad social.,0,0,formulación política eficaz deber tener cuenta crecimiento económico equidad social
104,La ampliación del acceso a una vivienda asequible es fundamental para reducir la falta de vivienda y la desigualdad económica.,0,-1,ampliación acceso vivienda asequible fundamental reducir falta viviendo desigualdad económico
105,La financiación pública para la investigación y el desarrollo puede impulsar la innovación y el progreso económico.,0,-1,financiación público investigación desarrollo poder impulsar innovación progreso económico
106,Un enfoque equilibrado de la regulación debe proteger los intereses públicos sin obstaculizar el progreso.,0,0,enfoque equilibrado regulación deber proteger interés público obstaculizar progreso
107,La reducción del gasto público en programas sociales fomentará la responsabilidad personal y la autosuficiencia.,0,1,reducción gasto público programa social fomentar responsabilidad personal autosuficiencia
108,El objetivo de la gobernanza debe ser equilibrar la dinámica del mercado con las salvaguardias reglamentarias.,0,0,objetivo gobernanza deber ser equilibrar dinámico mercado salvaguardia reglamentario
109,El fomento de un desarrollo urbano equilibrado puede mejorar los resultados económicos y sociales.,0,-1,fomento desarrollo urbano equilibrado poder mejorar resultado económico social
110,La expansión del transporte público puede reducir la congestión del tráfico y promover la sostenibilidad.,0,-1,expansión transporte público poder reducir congestión tráfico promover sostenibilidad
111,Las políticas públicas deben promover tanto la innovación como el crecimiento inclusivo.,0,0,política público deber promover innovación crecimiento inclusivo
112,El gasto público equilibrado debe abordar tanto las necesidades actuales como los retos futuros.,0,0,gasto público equilibrado deber abordar necesidad actual reto futuro
113,La inversión en energía renovable es crucial para la sostenibilidad a largo plazo y el crecimiento económico.,0,-1,inversión energío renovable crucial sostenibilidad largo plazo crecimiento económico
114,La ampliación de la protección de los derechos civiles es esencial para garantizar la igualdad y la justicia a todas las personas.,0,-1,ampliación protección derecho civil esencial garantizar igualdad justicia todo persona
115,Las reformas fiscales moderadas deberían tener por objeto simplificar el sistema y garantizar al mismo tiempo la equidad.,0,1,reforma fiscal moderado deber tener objeto simplificar sistema garantizar mismo tiempo equidad
116,El apoyo a las campañas de salud pública es esencial para prevenir las enfermedades y promover el bienestar.,0,-1,apoyo campaña salud público esencial prevenir enfermedad promover bienestar
117,Las políticas fiscales moderadas pueden apoyar la estabilidad y el crecimiento económicos.,0,1,política fiscal moderado poder apoyar estabilidad crecimiento económico
118,Los incentivos fiscales moderados pueden fomentar la inversión empresarial y el crecimiento económico.,0,1,incentivo fiscal moderado poder fomentar inversión empresarial crecimiento económico
119,La gobernanza debe equilibrar el desarrollo económico con la preservación cultural.,0,0,gobernanza deber equilibrar desarrollo económico preservación cultural
120,Una gobernanza eficaz requiere un equilibrio entre las libertades individuales y las responsabilidades sociales.,0,0,gobernanza eficaz requerir equilibrio libertad individual responsabilidad social
121,La gobernanza debe equilibrar la libertad económica con el bienestar público.,0,0,gobernanza deber equilibrar libertad económico bienestar público
122,La subvención de tecnologías de energía no contaminante puede acelerar la transición a una economía sostenible.,0,-1,subvención tecnología energía no contaminante poder acelerar transición economía sostenible
123,El fomento de las iniciativas de salud pública puede mejorar la calidad de vida en general.,0,-1,fomento iniciativa salud público poder mejorar calidad vida general
124,El apoyo a las reformas de salud pública es esencial para mejorar los resultados sanitarios.,0,-1,apoyo reforma salud público esencial mejorar resultado sanitario
125,La aplicación de impuestos progresivos puede financiar los servicios públicos esenciales y reducir la desigualdad.,0,-1,aplicación impuesto progresivo poder financiar servicio público esencial reducir desigualdad
126,Las políticas públicas deben promover tanto la eficiencia económica como el bienestar social.,0,0,política público deber promover eficiencia económico bienestar social
127,La inversión en infraestructura de salud pública es esencial para prepararse para futuras crisis sanitarias.,0,-1,inversión infraestructuro salud público esencial preparar él futuro crisis sanitario
128,La desregulación de las industrias promueve la competencia y la innovación.,0,1,desregulación industria promover competencia innovación
129,El apoyo a las iniciativas de salud pública puede mejorar la calidad de vida en general.,0,-1,apoyo iniciativo salud público poder mejorar calidad vida general
130,Las estrategias económicas deben garantizar tanto el crecimiento como el acceso equitativo a las oportunidades.,0,0,estrategia económico deber garantizar crecimiento acceso equitativo oportunidad
131,Las políticas fiscales progresivas pueden ayudar a reducir la desigualdad de ingresos y financiar los servicios públicos esenciales.,0,-1,política fiscal progresivo poder ayudar reducir desigualdad ingreso financiar servicio público esencial
132,Un enfoque equilibrado de las políticas sociales debería garantizar beneficios económicos y sociales.,0,0,enfoque equilibrado política social deber garantizar beneficio económico social
133,El fomento de la independencia energética puede mejorar tanto la seguridad económica como la sostenibilidad.,0,-1,fomento independencia energético poder mejorar seguridad económico sostenibilidad
134,Los aumentos moderados del gasto social pueden reducir la pobreza y mejorar la estabilidad económica.,0,-1,aumento moderado gasto social poder reducir pobreza mejorar estabilidad económico
135,Un enfoque moderado de la política fiscal puede equilibrar el crecimiento económico con un gasto responsable.,0,1,enfocar moderado política fiscal poder equilibrar crecimiento económico gasto responsable
136,La promoción de iniciativas de vivienda asequible puede reducir las disparidades económicas.,0,-1,promoción iniciativo vivienda asequible poder reducir disparidad económico
137,Los incentivos fiscales moderados pueden estimular la inversión sin reducir los ingresos públicos.,0,1,incentivo fiscal moderado poder estimular inversión reducir ingreso público
138,Un fuerte presupuesto de defensa nacional asegura que nuestro país siga siendo un líder mundial.,0,1,fuerte presupuesto defensa nacional asegurar país seguir ser líder mundial
139,Las políticas fiscales equilibradas deben tener en cuenta tanto las necesidades de ingresos como las repercusiones económicas.,0,1,política fiscal equilibrado deber tener cuenta necesidad ingreso repercusión económico
140,El apoyo a las pequeñas y medianas empresas es clave para una economía resiliente.,0,1,apoyo pequeño mediano empresa clave economía resiliente
141,La gobernanza debe equilibrar la responsabilidad fiscal con el bienestar social.,0,0,gobernanza deber equilibrar responsabilidad fiscal bienestar social
142,Una gobernanza equilibrada debería tener en cuenta tanto los beneficios a corto plazo como la sostenibilidad a largo plazo.,0,0,gobernanza equilibrado deber tener cuenta beneficio corto plazo sostenibilidad largo plazo
143,El apoyo a la investigación sobre las energías renovables es esencial para un futuro sostenible.,0,-1,apoyo investigación energía renovable esencial futuro sostenible
144,Las políticas de transporte moderadas deben promover la eficiencia y la sostenibilidad.,0,1,política transporte moderado deber promover eficiencia sostenibilidad
145,"Las políticas sociales moderadas deberían mejorar el bienestar y, al mismo tiempo, promover el crecimiento económico.",0,-1,política social moderado deber mejorar bienestar mismo tiempo promover crecimiento económico
146,La gobernanza inclusiva requiere considerar diversas perspectivas e intereses.,0,0,gobernanza inclusivo requerir considerar diverso perspectiva interés
147,Las políticas públicas deben equilibrar el desarrollo económico con la mejora de la calidad de vida.,0,0,política público deber equilibrar desarrollo económico mejora calidad vido
148,Las políticas económicas equilibradas deben apoyar tanto la competitividad como la inclusión social.,0,0,política económico equilibrado deber apoyar competitividad inclusión social
149,Las políticas públicas deben promover tanto la eficiencia económica como la justicia social.,0,0,política público deber promover eficiencia económico justicia social
150,Las políticas ambientales moderadas deberían proteger los recursos naturales y apoyar la actividad económica.,0,1,política ambiental moderado deber proteger recurso natural apoyar actividad económico
151,El fomento de recortes tributarios moderados puede impulsar los ingresos disponibles y estimular el gasto.,0,1,fomento recorte tributario moderado poder impulsar ingreso disponible estimular gasto
152,El mantenimiento de un presupuesto equilibrado es esencial para la estabilidad y el crecimiento económicos.,0,1,mantenimiento presupuesto equilibrado esencial estabilidad crecimiento económico
153,Las políticas comerciales equilibradas deben proteger las industrias nacionales y promover al mismo tiempo la competitividad mundial.,0,1,política comercial equilibrado deber proteger industria nacional promover mismo tiempo competitividad mundial
154,Una gobernanza equilibrada debe abordar tanto las oportunidades económicas como la justicia social.,0,0,gobernanza equilibrado deber abordar oportunidad económico justicia social
155,Las estrategias económicas deben promover tanto la competitividad como la inclusión social.,0,0,estrategia económico deber promover competitividad inclusión social
156,Proporcionar ingresos básicos universales puede reducir la inseguridad económica y la pobreza.,0,-1,proporcionar ingreso básico universal poder reducir inseguridad económico pobreza
157,Las deducciones fiscales por donaciones caritativas fomentan la filantropía y el apoyo comunitario.,0,1,deducción fiscal donación caritativo fomentar filantropía apoyo comunitario
158,Un punto de vista equilibrado sobre la asistencia sanitaria debe tener en cuenta tanto el coste como la accesibilidad.,0,0,punto visto equilibrado asistencia sanitario deber tener cuenta coste accesibilidad
159,Las políticas de salud equilibradas deben tener en cuenta tanto la accesibilidad como la rentabilidad.,0,0,política salud equilibrado deber tener cuenta accesibilidad rentabilidad
160,Las políticas públicas deben tener por objeto garantizar tanto la vitalidad económica como la equidad social.,0,0,política público deber tener objeto garantizar vitalidad económico equidad social
161,El objetivo de la gobernanza debe ser equilibrar la innovación con los valores tradicionales.,0,0,objetivo gobernanza deber ser equilibrar innovación valor tradicional
162,Apoyar a las pequeñas empresas es clave para una economía sana y la creación de empleo.,0,1,apoyar pequeño empresa clave economía sano creación empleo
163,La desregulación ayuda a eliminar cargas innecesarias para las empresas que estimulan la actividad económica.,0,1,desregulación ayudo eliminar carga innecesario empresa estimular actividad económico
164,Las estrategias económicas equilibradas deben centrarse tanto en el crecimiento como en la equidad social.,0,1,estrategia económico equilibrado deber centrar él crecimiento equidad social
165,La inversión pública en infraestructura puede mejorar la eficiencia económica y la equidad social.,0,-1,inversión público infraestructuro poder mejorar eficiencia económico equidad social
166,El apoyo a regulaciones laborales equilibradas puede proteger a los trabajadores y al mismo tiempo fomentar la creación de empleo.,0,1,apoyo regulación laboral equilibrado poder proteger trabajador mismo tiempo fomentar creación empleo
167,La promoción de iniciativas sanitarias asequibles puede reducir los costos médicos y mejorar el acceso.,0,-1,promoción iniciativo sanitario asequible poder reducir costo médico mejorar acceso
168,Las estrategias económicas deben garantizar tanto el progreso como oportunidades equitativas.,0,0,estrategia económico deber garantizar progreso oportunidad equitativo
169,Una gobernanza equilibrada debe abordar tanto las necesidades actuales como la sostenibilidad futura.,0,0,gobernanza equilibrado deber abordar necesidad actual sostenibilidad futuro
170,Los recortes fiscales para las empresas darán lugar a un aumento de la actividad económica y las oportunidades de empleo.,0,1,recorte fiscal empresa dar lugar aumento actividad económico oportunidad empleo
171,Los incentivos fiscales moderados pueden fomentar la inversión en energías renovables.,0,-1,incentivo fiscal moderado poder fomentar inversión energía renovable
172,La financiación de la educación pública es fundamental para crear igualdad de oportunidades para todos los estudiantes.,0,-1,financiación educación público fundamental crear igualdad oportunidad estudiant
173,Las políticas sociales moderadas pueden mejorar el bienestar de la comunidad sin una intervención excesiva del Gobierno.,0,-1,política social moderado poder mejorar bienestar comunidad intervención excesivo gobierno
174,La ampliación de las opciones de seguro público de salud puede mejorar la accesibilidad a la atención sanitaria.,0,-1,ampliación opción seguro público salud poder mejorar accesibilidad atención sanitario
175,Las políticas ambientales moderadas pueden apoyar el crecimiento económico y proteger los recursos naturales.,0,-1,política ambiental moderado poder apoyar crecimiento económico proteger recurso natural
176,El fomento de políticas de desarrollo equilibradas puede mejorar los resultados económicos y sociales.,0,-1,fomento política desarrollo equilibrado poder mejorar resultado económico social
177,La promoción de la eficiencia energética puede reducir los costos y aumentar la resiliencia económica.,0,1,promoción eficiencia energético poder reducir costo aumentar resiliencia económico
178,Una legislación eficaz requiere un equilibrio entre los incentivos económicos y las salvaguardias reglamentarias.,0,0,legislación eficaz requerir equilibrio incentivo económico salvaguardia reglamentario
179,Una gobernanza eficaz requiere un equilibrio entre las necesidades de las diversas partes interesadas de la sociedad.,0,0,gobernanza eficaz requerir equilibrio necesidad diverso parte interesado sociedad
180,Un enfoque equilibrado de la asistencia sanitaria debe garantizar tanto la calidad como la asequibilidad.,0,0,enfoque equilibrado asistencia sanitario deber garantizar calidad asequibilidad
181,La gobernanza debe tener por objetivo tanto la vitalidad económica como la equidad social.,0,0,gobernanza deber tener objetivo vitalidad económico equidad social
182,La ampliación del acceso a una educación de calidad puede reducir las disparidades sociales y económicas.,0,-1,ampliación acceso educación calidad poder reducir disparidad social económico
183,Debe procurarse el desarrollo económico garantizando al mismo tiempo la sostenibilidad del medio ambiente.,0,0,deber procurar él desarrollo económico garantizar mismo tiempo sostenibilidad medio ambiente
184,Las políticas deben abordar tanto las disparidades económicas como las oportunidades de crecimiento.,0,0,política deber abordar disparidad económico oportunidad crecimiento
185,La inversión en infraestructuras ecológicas es esencial para el crecimiento económico sostenible.,0,-1,inversión infraestructura ecológico esencial crecimiento económico sostenible
186,Es necesario fortalecer las normas ambientales para proteger la salud pública y los recursos naturales.,0,-1,necesario fortalecer norma ambiental proteger salud público recurso natural
